
71,1730704,RAJASTHAN,JAIPUR,Senior Secondary Level,SADGURU PUBLIC SCHOOL,Disaffiliated,Ajmer,View
72,1730708,RAJASTHAN,CHURU,Secondary Level,RAJEEV SHIKSAN SANSTHAN,Disaffiliated,Ajmer,View
73,1730751,RAJASTHAN,UDAIPUR,Senior Secondary Level,"G D GOENKA INTERNATIONAL SCHOOL, UDAIPUR",Disaffiliated,Ajmer,View
74,1730755,RAJASTHAN,ALWAR,Secondary Level,BAL BHARATI PUBLIC SCHOOL,Disaffiliated,Ajmer,View
75,1730765,RAJASTHAN,HANUMANGARH,Senior Secondary Level,SOHAM INTERNATIONAL SCHOOL,Disaffiliated,Ajmer,View
76,1780021,RAJASTHAN,SIROHI,Senior Secondary Level,RAILWAY HIGH SEC. SCHOOL,Disaffiliated,Ajmer,View
77,180011,ANDHRA PRADESH,SECUNDERABAD,Secondary Level,AIR FORCE SCHOOL,Disaffiliated,Vijaywada,View
78,1830004,SIKKIM,NORTH DISTRICT,Secondary Level,ASSAM RIFLES SCHOOL,Disaffiliated,Guwahati,View
79,1830007,SIKKIM,EAST DISTRICT,Secondary Level,SARASWATI VIDYA NIKETAN,Disaffiliated,Guwahati,View
80,1930085,TAMILNADU,VILUPPURAM,Secondary Level,TAGORE SENIOR SEC SCHOOL,Disaffiliated,Chennai,View
81,1930087,TAMILNADU,KARUR,Senior Secondary Level,KARUR PUBLIC SCHOOL,Disaffiliated,Chennai,View
82,1930088,TAMILNADU,VELLORE,Senior Secondary Level,SIDDARTHA SENIOR SEC SCHOOL,Disaffiliated,Chennai,View
83,1930094,TAMILNADU,CHENNAI,Secondary Level,METRO ENGLISH MEDIUM SCHOOL,Disaffiliated,Chennai,View
84,1930151,TAMILNADU,CHENNAI,Secondary Level,HILL VIEW PUBLIC SCHOOL,Disaffiliated,Chennai,View
85,1930253,TAMILNADU,KANCHIPURAM,Senior Secondary Level,PRASHANTI GURUKULAM,Disaffiliated,Chennai,View
86,1930375,TAMILNADU,KANCHIPURAM,Senior Secondary Level,HUS,Disaffiliated,Chennai,View
87,1930384,TAMILNADU,KANCHIPURAM,Senior Secondary Level,KSHETRA VIDYALAYA,Disaffiliated,Chennai,View
88,1930560,TAMILNADU,COIMBATORE,Secondary Level,ZENITH PUBLIC SCHOOL,Disaffiliated,Chennai,View
89,1930640,TAMILNADU,COIMBATORE,Secondary Level,SCAD WORLD SCHOOL,Disaffiliated,Chennai,View
90,1930687,TAMILNADU,CHENNAI,Secondary Level,RMT INTERNATIONAL SCHOOL,Disaffiliated,Chennai,View
91,1930919,TAMILNADU,DHARMAPURI,Senior Secondary Level,INDIAN PUBLIC SCHOOL (CBSE),Disaffiliated,Chennai,View
92,200027,ASSAM,DIBRUGARH,Senior Secondary Level,KENDRIYA VIDYALAYA,Disaffiliated,Guwahati,View
93,2020006,TRIPURA,WEST TRIPURA,Secondary Level,NEW HINDI SEC SCHOOL,Disaffiliated,Guwahati,View
94,2100065,UTTAR PRADESH,GHAZIABAD,Secondary Level,KENDRIYA VIDYALAYA,Disaffiliated,Noida,View
95,2130025,UTTAR PRADESH,KANPUR NAGAR,Senior Secondary Level,DNANCE EQUIPMENT FACTY H SEC SCH,Disaffiliated,prayagraj,View
96,2130096,UTTAR PRADESH,MEERUT,Senior Secondary Level,DAYAWATI MODI INTERNATIONAL,Disaffiliated,Noida,View
97,2130191,UTTAR PRADESH,LUCKNOW,Secondary Level,LITTLE ANGELS HIGH SCHOOL,Disaffiliated,prayagraj,View
98,2130198,UTTAR PRADESH,GHAZIABAD,Senior Secondary Level,HOLY ANGEL'S PUBLIC SCHOOL,Disaffiliated,Noida,View
99,2130268,UTTAR PRADESH,VARANASI,Senior Secondary Level,M A S SANSTHAN KAMTI KALA (CHAKIA),Disaffiliated,prayagraj,View
100,2130365,UTTAR PRADESH,BIJNOUR,Secondary Level,RAM SARAN SINGH VIDYALAYA,Disaffiliated,Dehradun,View
101,2130389,UTTAR PRADESH,SULTANPUR,Secondary Level,RAI SCHOOL,Disaffiliated,prayagraj,View
102,2130402,UTTAR PRADESH,BULANDSHAHAR,Senior Secondary Level,LILAWATI CONVENT SCHOOL,Disaffiliated,Noida,View
103,2130405,UTTAR PRADESH,VARANASI,Secondary Level,SIR SYED PUB SCHOOL,Disaffiliated,prayagraj,View
104,2130438,UTTAR PRADESH,HAPUR,Senior Secondary Level,DAV PUBLIC SCHOOL,Disaffiliated,Noida,View
105,2130439,UTTAR PRADESH,MUZAFFARNAGAR,Secondary Level,INTERNATIONAL ACADEMY,Disaffiliated,Dehradun,View
106,2130507,UTTAR PRADESH,MEERUT,Secondary Level,D S PUBLIC SCHOOL,Disaffiliated,Noida,View
107,2130600,UTTAR PRADESH,MORADABAD,Senior Secondary Level,COSMOPOLITAN PUBLIC SCHOOL,Disaffiliated,Dehradun,View
108,2130676,UTTAR PRADESH,MIRZAPUR,Secondary Level,MALTI SHIKSHA SANSTHAN,Disaffiliated,prayagraj,View
109,2130797,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Senior Secondary Level,RADIANT ACADEMY,Disaffiliated,Noida,View
110,2130811,UTTAR PRADESH,CHANDAULI,Secondary Level,TRIMURTI EDUCATION ACADEMY,Disaffiliated,prayagraj,View
111,2130825,UTTAR PRADESH,PRAYAGRAJ,Secondary Level,BHASKAR CONVENT SCHOOL,Disaffiliated,prayagraj,View
112,2130911,UTTAR PRADESH,SAHARANPUR,Senior Secondary Level,APPLE GROVE SCHOOL,Disaffiliated,Dehradun,View
113,2130970,UTTAR PRADESH,MUZAFFARNAGAR,Senior Secondary Level,DEV RISHI VIDYA PEETH,Disaffiliated,Dehradun,View
114,2130993,UTTAR PRADESH,PRAYAGRAJ,Secondary Level,CITIZEN COLLEGE,Disaffiliated,prayagraj,View
115,2131405,UTTAR PRADESH,BIJNOUR,Senior Secondary Level,PARAM PUBLIC SCHOOL,Disaffiliated,Dehradun,View
116,2131618,UTTAR PRADESH,MATHURA,Senior Secondary Level,K.N.INTERNATIONAL SCHOOL,Disaffiliated,Noida,View
